symbol,name,sector,price,pe,pb,div_yield,roe,debt,profit_margin,yoy,eps_growth,market,last_updated
3034,NOVATEK MICROELECTRONICS,Technology,415.0,15.456238,3.728025,6.75,24.101,0.815,16.239999,-9.700000000000001,-23.1,Taiwan,2026-04-19 13:14:13
2301,LITE-ON TECHNOLOGY CORP,Technology,162.0,24.5827,4.0937,4.63,16.708000000000002,27.039,9.100999999999999,15.8,28.299999999999997,Taiwan,2026-04-19 13:14:13
2303,UNITED MICRO ELECTRONICS,Technology,73.0,22.05438,2.4197023,3.9,10.958,20.789,17.561,2.4,18.2,Taiwan,2026-04-19 13:14:13
2377,MICRO-STAR INTERNATIONAL CO,Technology,91.9000015258789,13.614815,1.4219624,5.44,10.696,21.429,2.497,11.899999999999999,247.7,Taiwan,2026-04-19 13:14:13
2353,ACER INC,Technology,28.700000762939453,22.960001,1.1412438,4.53,6.353000000000001,32.753,1.3719999999999999,12.6,-26.5,Taiwan,2026-04-19 13:14:13
2344,WINBOND ELECTRONIC CORP,Technology,87.80000305175781,99.77273,3.6604688,0.0,2.9790001,47.522,4.4310004,42.4,0.0,Taiwan,2026-04-19 13:14:13
2327,YAGEO CORP,Technology,316.5,27.545692,3.8088477,1.58,15.875,8.187,18.648,22.7,45.1,Taiwan,2026-04-19 13:14:13
2315,2315,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taiwan,2026-04-19 13:14:13
2408,NANYA TECHNOLOGY CORPORATION,Technology,210.0,100.00001,3.8187373,1.0144585714285714,0.0,13.849,31.905,582.9,0.0,Taiwan,2026-04-19 13:14:13
2409,AUO CORPORATION,Technology,19.850000381469727,22.055557,0.9856008,6.07,4.319,71.679,2.4319998999999997,2.1,80.4,Taiwan,2026-04-19 13:14:13
2413,UNIVERSAL MICROELECTRONICS,Technology,52.0,126.82927,3.2882257,0.38461538461538464,2.643,63.714,1.569,-7.3,198.9,Taiwan,2026-04-19 13:14:13
2420,ZIPPY TECHNOLOGY CORP,Industrials,55.099998474121094,14.164524,2.114676,6.35,15.026,25.718,27.366,-1.0999999999999999,24.099999999999998,Taiwan,2026-04-19 13:14:13
2421,SUNONWEALTH ELECTRIC MACHINE IN,Industrials,146.5,18.59137,4.492762,2.52,25.771,17.32,11.594999999999999,27.500000000000004,44.1,Taiwan,2026-04-19 13:14:13
2439,MERRY ELECTRONICS CO,Technology,90.0,17.928288,1.3017255,8.1,9.481,39.103,2.875,14.799999999999999,-39.0,Taiwan,2026-04-19 13:14:13
2441,GREATEK ELECTRONICS INC,Technology,88.4000015258789,20.702576,2.0820575,3.39,10.5229996,0.117,14.609,10.5,10.9,Taiwan,2026-04-19 13:14:13
2443,"2443.TW,0P0000B9KV,0",Unknown,3.57,3.104348,1.0650358,0.0,0.0,0.0,0.0,0.0,0.0,Taiwan,2026-04-19 13:14:13
2444,ABOCOM SYSTEMS INC,Technology,13.899999618530273,0.0,1.784568,0.7476618910223294,-22.027001,87.137,-16.996,-33.6,0.0,Taiwan,2026-04-19 13:14:13
2445,2445,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taiwan,2026-04-19 13:14:13
2002,CHINA STEEL CORP,Basic Materials,20.100000381469727,39.662178,1.0482945,1.64,-1.045,82.25,-1.3710000999999998,-13.0,0.0,Taiwan,2026-04-19 13:14:13
2103,TSRC CORPORATION,Basic Materials,19.049999237060547,35.277775,0.788265,3.31,2.812,61.946,1.23000005,-12.8,0.0,Taiwan,2026-04-19 13:14:13
AAPL,Apple Inc.,Technology,270.2300109863281,34.249683,45.053352,0.0,100.0,102.63,27.037,15.7,18.3,USA,2026-04-19 13:14:13
MSFT,Microsoft Corporation,Technology,422.7900085449219,26.457449,8.035542,0.0,34.390998,31.539,39.044000000000004,16.7,59.8,USA,2026-04-19 13:14:13
GOOGL,Alphabet Inc.,Communication Services,341.67999267578125,31.637035,9.946147,0.0,35.705003000000005,16.133,32.810003,18.0,31.1,USA,2026-04-19 13:14:13
AMZN,"Amazon.com, Inc.",Consumer Cyclical,250.55999755859375,34.945606,6.541012,0.0,22.286,43.435,10.8339995,13.600000000000001,5.0,USA,2026-04-19 13:14:13
